image,sigma,method,psnr,ssim
PD_sagittal_022.npy,0.05,Attention U-Net,30.72575744959608,0.9205527305603027
PD_sagittal_024.npy,0.05,Noisy,26.183290408148356,0.7721752524375916
PD_sagittal_024.npy,0.05,DnCNN,32.552771358850464,0.9498326182365417
PD_sagittal_024.npy,0.05,RicianNet,29.769022623937143,0.9165878295898438
PD_sagittal_024.npy,0.05,Attention U-Net,30.63653295910281,0.9217076301574707
PD_sagittal_027.npy,0.05,Noisy,26.144651188058145,0.7703208923339844
PD_sagittal_027.npy,0.05,DnCNN,32.29268052268691,0.9489240646362305
PD_sagittal_027.npy,0.05,RicianNet,29.50098789512292,0.9154273271560669
PD_sagittal_027.npy,0.05,Attention U-Net,30.517547647991524,0.9225680828094482
PD_sagittal_030.npy,0.05,Noisy,26.21046768916176,0.7624263167381287
PD_sagittal_030.npy,0.05,DnCNN,32.7231524030129,0.9495062828063965
PD_sagittal_030.npy,0.05,RicianNet,29.614897350738545,0.9165862798690796
PD_sagittal_030.npy,0.05,Attention U-Net,30.799462021503498,0.9247493743896484
PD_sagittal_031.npy,0.05,Noisy,26.116531117435073,0.7554985284805298
PD_sagittal_031.npy,0.05,DnCNN,32.79271362995554,0.9488208889961243
PD_sagittal_031.npy,0.05,RicianNet,29.73472512947297,0.9140236973762512
PD_sagittal_031.npy,0.05,Attention U-Net,30.74205764162473,0.9235741496086121
PD_sagittal_034.npy,0.05,Noisy,26.135782542939058,0.7506354451179504
PD_sagittal_034.npy,0.05,DnCNN,33.084790342564936,0.9502818584442139
PD_sagittal_034.npy,0.05,RicianNet,29.968507084066264,0.916201651096344
PD_sagittal_034.npy,0.05,Attention U-Net,30.965898852943642,0.9254236817359924
PD_sagittal_041.npy,0.05,Noisy,26.09266209700937,0.7391093969345093
PD_sagittal_041.npy,0.05,DnCNN,33.010700698007255,0.9433658719062805
PD_sagittal_041.npy,0.05,RicianNet,29.847839032493507,0.9129460453987122
PD_sagittal_041.npy,0.05,Attention U-Net,30.996450819183007,0.9184995889663696
PD_sagittal_047.npy,0.05,Noisy,26.154687079359075,0.711890459060669
PD_sagittal_047.npy,0.05,DnCNN,33.52079177619971,0.9425463676452637
PD_sagittal_047.npy,0.05,RicianNet,29.930241693467234,0.9082492589950562
PD_sagittal_047.npy,0.05,Attention U-Net,31.364506380119444,0.9139218330383301
PD_sagittal_050.npy,0.05,Noisy,26.14656815687499,0.7088901996612549
PD_sagittal_050.npy,0.05,DnCNN,33.56113451705567,0.9437237977981567
PD_sagittal_050.npy,0.05,RicianNet,30.048448274453996,0.9101742506027222
PD_sagittal_050.npy,0.05,Attention U-Net,31.363639459205498,0.9172362089157104
PD_sagittal_051.npy,0.05,Noisy,26.13114941667906,0.7132540941238403
PD_sagittal_051.npy,0.05,DnCNN,33.61872072718553,0.9439592957496643
PD_sagittal_051.npy,0.05,RicianNet,29.886882265754963,0.9088081121444702
PD_sagittal_051.npy,0.05,Attention U-Net,31.268727169438428,0.9160435199737549
PD_sagittal_053.npy,0.05,Noisy,26.20328827784595,0.7171740531921387
PD_sagittal_053.npy,0.05,DnCNN,33.76016279546813,0.9458151459693909
PD_sagittal_053.npy,0.05,RicianNet,30.01499502096012,0.9138786792755127
PD_sagittal_053.npy,0.05,Attention U-Net,31.47797345212046,0.9183785915374756
PD_sagittal_054.npy,0.05,Noisy,26.141565418074187,0.7143802642822266
PD_sagittal_054.npy,0.05,DnCNN,33.7807740101909,0.9455461502075195
PD_sagittal_054.npy,0.05,RicianNet,29.976442350185092,0.9112760424613953
PD_sagittal_054.npy,0.05,Attention U-Net,31.408654236346738,0.9170358777046204
PD_sagittal_060.npy,0.05,Noisy,26.115405297561143,0.7190161943435669
PD_sagittal_060.npy,0.05,DnCNN,33.78725836744848,0.948874831199646
PD_sagittal_060.npy,0.05,RicianNet,30.105485589615594,0.9190801382064819
